header,type,include_count_unconditional,include_count_conditional,total_tu,ratio_unconditional,gameclient_ratio,in_conditional_dominant,aggregator_coverage,recent_changes_6mo,target_pch
DepthStencilStateManager.h,project,1,0,233,0.004,0.000,false,,0,unified
DirectXMath.h,system,1,0,233,0.004,0.000,false,,0,unified
DrawCommandList.h,project,1,0,233,0.004,0.000,false,,0,unified
Editor/Packaging/GamePackageAssetCollector.h,project,1,0,233,0.004,0.000,false,,1,unified
Editor/Packaging/GamePackageManifest.h,project,1,0,233,0.004,0.000,false,,1,unified
Editor/Packaging/GamePackageValidator.h,project,1,0,233,0.004,0.000,false,,1,unified
Editor/Settings/EditorSettings.h,project,1,0,233,0.004,0.000,false,,1,unified
EditorPrefabWidget.h,project,1,0,233,0.004,0.000,false,,0,unified
Engine/Collision/ConvexVolume.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Component/CameraComponent.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Core/EngineTypes.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Profiling/Timer.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Render/Culling/TileBasedLightCulling.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Render/Resource/RenderResources.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Render/Viewport/D3D11ViewportPresenter.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Runtime/Launch.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Runtime/resource.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Runtime/WindowsApplication.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Serialization/SceneSaveManager.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/Texture/Texture2D.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/UI/Rml/RmlD3D11RenderInterface.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/UI/Rml/RmlUiConfig.h,project,1,0,233,0.004,0.000,false,,1,unified
Engine/UI/Rml/RmlWin32SystemInterface.h,project,1,0,233,0.004,0.000,false,,1,unified
FbxMetaParser.h,project,1,0,233,0.004,0.000,false,,0,unified
FbxSkeletalMeshAssembler.h,project,1,0,233,0.004,0.000,false,,0,unified
FbxSkeletalMeshPartParser.h,project,1,0,233,0.004,0.000,false,,0,unified
FbxStaticMeshParser.h,project,1,0,233,0.004,0.000,false,,0,unified
FontGeometry.h,project,1,0,233,0.004,0.000,false,,0,unified
